Ticker,Date_updated,timestamp_updated,Date_scraped,timestamp_scraped,sentiment,price,message_volume
MMM,01/06/2023,01:24:45 AM EST,20230106,06:57:08,16.67,-1.75,33.33
ABT,01/06/2023,01:22:19 AM EST,20230106,06:57:08,0,-0.369,-6.25
ABBV,01/06/2023,01:16:06 AM EST,20230106,06:57:08,-2.88,-0.122,25.37
ABMD,12/21/2022,07:00:00 PM EST,20230106,06:57:08,N/A,0.06,-23.53
ACN,01/05/2023,02:58:18 PM EST,20230106,06:57:08,0,-2.361,19.57
ATVI,01/05/2023,11:50:18 PM EST,20230106,06:57:08,0,0.156,18.03
ADBE,01/06/2023,01:38:46 AM EST,20230106,06:57:08,-11.11,-3.799,23.4
AMD,01/06/2023,01:37:41 AM EST,20230106,06:57:08,-2.3,-3.603,10.05
AAP,01/05/2023,02:22:58 PM EST,20230106,06:57:08,0,0.836,10
AES,01/05/2023,02:27:53 PM EST,20230106,06:57:08,0,-5.169,0
AFL,01/05/2023,11:00:02 AM EST,20230106,06:57:08,N/A,-0.584,62.96
A,01/05/2023,02:49:13 PM EST,20230106,06:57:08,0,0.29,21.05
APD,01/05/2023,02:31:04 PM EST,20230106,06:57:08,-100,-1.556,-2.08
AKAM,01/05/2023,11:44:17 AM EST,20230106,06:57:08,0,-1.444,-4.17
ALK,01/06/2023,01:25:56 AM EST,20230106,06:57:08,0,-0.429,100
ALB,01/06/2023,01:39:42 AM EST,20230106,06:57:08,0,-2.219,5.36
ARE,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-2.614,66.67
ALGN,01/06/2023,12:19:41 AM EST,20230106,06:57:08,0,-2.141,3.33
ALLE,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-1.364,17.65
LNT,01/05/2023,11:56:58 AM EST,20230106,06:57:08,0,-2.975,-6.25
ALL,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,0.273,47.83
GOOGL,01/06/2023,01:40:21 AM EST,20230106,06:57:08,-3.8,-2.134,13.46
GOOG,01/06/2023,01:41:22 AM EST,20230106,06:57:08,-0.26,-2.187,9.15
MO,01/06/2023,01:20:44 AM EST,20230106,06:57:08,0,-0.088,15
AMZN,01/06/2023,01:42:18 AM EST,20230106,06:57:08,-5.47,-2.373,13.51
AMCR,01/06/2023,01:02:16 AM EST,20230106,06:57:08,N/A,-0.914,50
AEE,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-3.327,466.67
AAL,01/06/2023,01:38:45 AM EST,20230106,06:57:08,2.65,2.943,26.61
AEP,01/05/2023,02:55:35 PM EST,20230106,06:57:08,0,-1.822,16.67
AXP,01/06/2023,01:06:05 AM EST,20230106,06:57:08,-20,-2.393,11.43
AIG,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-0.548,46.15
AMT,01/05/2023,11:28:30 PM EST,20230106,06:57:08,0,-3.137,-5.56
AWK,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-1.591,18.52
AMP,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-1.32,-42.86
ABC,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,0.129,7.32
AME,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-2.038,133.33
AMGN,01/06/2023,12:53:57 AM EST,20230106,06:57:08,0,0.934,9.3
APH,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-1.071,100
ADI,01/05/2023,02:58:39 PM EST,20230106,06:57:08,N/A,-3.749,17.86
ANSS,01/05/2023,12:43:12 PM EST,20230106,06:57:08,N/A,-4.647,2
ANTM,N/A,N/A,20230106,06:57:08,N/A,N/A,N/A
AON,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-0.783,12.5
AOS,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-2.11,-6.25
APA,01/06/2023,12:04:35 AM EST,20230106,06:57:08,-2.38,-0.925,8.45
AAPL,01/06/2023,01:42:19 AM EST,20230106,06:57:08,-0.77,-1.06,-0.3
AMAT,01/06/2023,01:34:28 AM EST,20230106,06:57:08,0,-1.4,6
APTV,01/05/2023,11:09:41 AM EST,20230106,06:57:08,N/A,-0.021,7.69
ADM,01/06/2023,01:33:08 AM EST,20230106,06:57:08,N/A,-2.5,15.79
ANET,01/06/2023,01:02:02 AM EST,20230106,06:57:08,0,-3.821,73.33
AJG,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-1.739,-31.58
AIZ,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-2.27,-12.5
T,01/06/2023,01:36:54 AM EST,20230106,06:57:08,5.84,0.366,5.92
ATO,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-2.743,200
ADSK,01/06/2023,01:20:50 AM EST,20230106,06:57:08,N/A,-3.134,-9.09
ADP,01/05/2023,11:23:19 PM EST,20230106,06:57:08,0,-2.157,27.66
AZO,01/05/2023,11:00:00 AM EST,20230106,06:57:08,-20,-1.181,-14.89
AVB,01/05/2023,02:56:49 PM EST,20230106,06:57:08,N/A,-3.858,16.67
AVY,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-1.965,-25
BKR,01/06/2023,12:21:09 AM EST,20230106,06:57:08,0,3.263,7.32
BLL,N/A,N/A,20230106,06:57:08,N/A,N/A,N/A
BAC,01/06/2023,01:40:29 AM EST,20230106,06:57:08,-1.35,-0.205,0.47
BK,01/06/2023,01:15:06 AM EST,20230106,06:57:08,0,-0.485,-14.29
BAX,01/05/2023,11:49:10 PM EST,20230106,06:57:08,0,0.459,0
BDX,01/05/2023,11:00:00 AM EST,20230106,06:57:08,-100,-1.077,55.56
BRK-B,01/06/2023,01:39:50 AM EST,20230106,06:57:08,-7.52,-0.525,-1.96
BBY,01/05/2023,11:00:10 PM EST,20230106,06:57:08,-5.56,-0.525,15.91
BIO,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-0.768,-7.69
BIIB,01/06/2023,01:41:21 AM EST,20230106,06:57:08,9.44,0.288,31.01
BLK,01/06/2023,12:37:57 AM EST,20230106,06:57:08,0,-2.862,-9.78
BA,01/06/2023,01:40:25 AM EST,20230106,06:57:08,-2.04,0.663,7.95
BKNG,01/05/2023,02:59:00 PM EST,20230106,06:57:08,-5,1.635,25
BWA,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,0.937,366.67
BXP,01/05/2023,02:59:52 PM EST,20230106,06:57:08,0,-3.793,2.86
BSX,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-1.591,13.33
BMY,01/06/2023,01:37:53 AM EST,20230106,06:57:08,-1.12,-0.18,0
AVGO,01/06/2023,01:37:41 AM EST,20230106,06:57:08,-8.08,-0.932,-1.52
BR,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-2.671,33.33
BF.B,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-2.732,600
CHRW,01/05/2023,11:56:54 AM EST,20230106,06:57:08,N/A,-0.87,14
COG,01/05/2023,11:25:41 PM EST,20230106,06:57:08,N/A,-1.293,-100
CDNS,01/05/2023,02:56:08 PM EST,20230106,06:57:08,N/A,-1.526,175
CZR,01/05/2023,11:41:35 PM EST,20230106,06:57:08,0,-6.433,19.23
CPB,01/05/2023,02:29:15 PM EST,20230106,06:57:08,0,0.681,0
COF,01/05/2023,02:37:03 PM EST,20230106,06:57:08,0,-1.9,0
CAH,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-0.494,-23.81
KMX,01/05/2023,02:55:22 PM EST,20230106,06:57:08,7.16,-2.733,-14.49
CCL,01/06/2023,01:39:24 AM EST,20230106,06:57:08,0.88,2.403,6.19
CARR,01/06/2023,01:27:40 AM EST,20230106,06:57:08,N/A,-1.19,60
CTLT,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-0.603,63.64
CAT,01/06/2023,01:09:40 AM EST,20230106,06:57:08,-2.92,-0.447,-7.83
CBOE,01/05/2023,11:01:53 AM EST,20230106,06:57:08,N/A,-0.562,300
CBRE,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-1.618,0
CDW,01/05/2023,11:33:31 AM EST,20230106,06:57:08,N/A,-1.706,533.33
CE,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,1.567,33.33
CNC,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-2.769,5.71
CNP,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-2.26,4
CERN,06/09/2022,12:00:00 AM EDT,20230106,06:57:08,N/A,-0.053,N/A
CF,01/05/2023,02:03:18 PM EST,20230106,06:57:08,4.17,1.662,54.55
CRL,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-0.834,50
SCHW,01/06/2023,12:27:27 AM EST,20230106,06:57:08,0,-0.288,32.35
CHTR,01/05/2023,02:26:39 PM EST,20230106,06:57:08,1.39,2.099,55.56
CVX,01/06/2023,01:36:12 AM EST,20230106,06:57:08,1.8,1.801,0
CMG,01/05/2023,02:56:40 PM EST,20230106,06:57:08,3.85,-0.864,6.15
CB,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-0.374,48
CHD,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-0.978,-3.57
CI,01/05/2023,02:58:58 PM EST,20230106,06:57:08,33.33,-1.969,20
CINF,01/05/2023,12:08:58 PM EST,20230106,06:57:08,0,0.301,550
CTAS,01/05/2023,01:15:53 PM EST,20230106,06:57:08,N/A,-2.321,20
CSCO,01/06/2023,01:41:15 AM EST,20230106,06:57:08,-14.77,-1.409,2.3
C,01/06/2023,01:34:12 AM EST,20230106,06:57:08,2.45,-0.447,0
CFG,01/05/2023,11:00:00 AM EST,20230106,06:57:08,0,-0.443,-16.67
CTXS,09/29/2022,06:29:26 PM EDT,20230106,06:57:08,N/A,0.039,0
CLX,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-1.141,0
CME,01/05/2023,12:17:17 PM EST,20230106,06:57:08,N/A,-0.194,43.59
CMS,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-2.089,-33.33
KO,01/06/2023,01:43:00 AM EST,20230106,06:57:08,-4.17,-1.144,-1.23
CTSH,01/05/2023,01:56:30 PM EST,20230106,06:57:08,0,-0.844,20
CL,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-1.381,22.22
CMCSA,01/06/2023,01:02:24 AM EST,20230106,06:57:08,0,1.066,33.78
CMA,01/05/2023,11:00:00 AM EST,20230106,06:57:08,N/A,-1.256,0
CAG,01/05/2023,02:56:43 PM EST,20230106,06:57:08,0,3.415,96.3
